,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
15083,Float: Milwaukee, Medical ,Seed/Startup,USA,http://www.floatmilwaukeeco.com/,|Medical|,Milwaukee
18296,HexAirbot,,Seed/Startup,,http://hexairbot.com,,
41253,The Fred Rogers, Social Media ,Seed/Startup,USA,http://www.fredrogers.org,|Social Media|,Pittsburgh
36060,Securly, Software ,Seed/Startup,USA,http://securly.com,|Software|,Santa Clara
30598,pbsi, Enterprise Software ,Seed/Startup,USA,http://www.pbsilink.com,|Enterprise Software|,Concord
4051,Azuro, Semiconductors ,Seed/Startup,USA,http://www.azuro.com,|Semiconductors|,Santa Clara
37249,Sinnet, Software ,Seed/Startup,CHN,http://www.sinnet.com.cn,|Software|,Beijing
1402,afterBOT, Software ,Seed/Startup,USA,http://www.afterbot.com,|Software|,Norcross
30998,PharmiWeb Solutions, Health and Wellness ,Seed/Startup,GBR,http://www.pharmiwebsolutions.com,|iPad|Publishing|Health and Wellness|Software|,Bracknell
41638,ThinkUp, Curated Web ,Seed/Startup,USA,http://www.thinkup.com/,|Curated Web|,New York
32231,PresenterNet, Curated Web ,Seed/Startup,USA,http://www.presenternet.com,|Curated Web|,San Clemente
10465,CyVek, Biotechnology ,Seed/Startup,USA,http://www.cyvek.com,|Biotechnology|,Wallingford
7024,Cardpool, Curated Web ,Seed/Startup,USA,http://www.cardpool.com,|Gift Card|E-Commerce|Curated Web|,San Francisco
29759,Oree Advanced Illumination Solutions, Clean Technology ,Seed/Startup,ISR,http://www.oree-inc.com,|Clean Technology|,Ramat Gan
633,Accentium Web, Curated Web ,Seed/Startup,IND,http://www.accentium.com,|Semantic Search|SEO|Legal|Internet|Curated Web|,Gurgaon
31552,Play2Focus,,Seed/Startup,,,,
5677,bodaplanes, E-Commerce ,Seed/Startup,,http://www.bodaplanes.com,|Weddings|E-Commerce|,
41002,Terascore, Software ,Seed/Startup,,http://www.terascore.com,|Testing|Software|SaaS|Education|,
6709,Calpano, Email ,Seed/Startup,DEU,http://www.calpano.com,|Email|Task Management|Curated Web|,Karlsruhe
40643,Tatango, Messaging ,Seed/Startup,USA,http://www.tatango.com,|App Marketing|SMS|Mobile|Messaging|,Bellingham
21502,JumpCloud, Enterprise Software ,Seed/Startup,,http://jumpcloud.com,|Enterprise Software|,
44191,VenueJam, News ,Seed/Startup,USA,,|Media|News|,Fullerton
28761,Nurep Inc., Mobile Health ,Seed/Startup,USA,http://www.nurep.com,|Physicians|Medical Devices|Mobile Health|Mobile|,Palo Alto
33413,"Quryon, Inc.",,Seed/Startup,,http://www.quryon.com,,
43256,Uber.com,,Seed/Startup,USA,http://www.dmwmedia.com/news/2008/09/29/social-network-uber-com-shutters-after-investors-bail,,Los Angeles
32039,"Power Supply Collective, Inc.", E-Commerce ,Seed/Startup,USA,http://mypowersupply.com,|E-Commerce|Specialty Foods|,Arlington
14934,FL3XX, Software ,Seed/Startup,AUT,http://www.fl3xx.com,|SaaS|Optimization|Transportation|Software|,Vienna
26419,Molecule Synth,,Seed/Startup,,http://www.moleculesynth.com,,
2364,AndroBioSys, Biotechnology ,Seed/Startup,USA,http://www.androbiosys.com,|Biotechnology|,New York
11380,Dimension Therapeutics, Biotechnology ,Seed/Startup,USA,http://dimensiontx.com,|Biotechnology|,Cambridge
47606,Zonit Structured Solutions, Web Hosting ,Seed/Startup,USA,http://www.zonit.com,|Web Hosting|,Boulder
18256,Hepa Wash, Health Care ,Seed/Startup,DEU,http://www.hepawash.com,|Health Care|,Munich
591,Academize, Education ,Seed/Startup,,http://www.academize.com,|Social Media|Collaboration|Cloud Computing|Education|,
29829,OrthoAccel Technologies, Medical ,Seed/Startup,USA,http://www.acceledent.com/home,|Medical|Manufacturing|,Houston
14981,Flavorvanil, Advertising ,Seed/Startup,USA,http://VanillaTemptation.info,|Advertising|,Miami
4633,BenchBanking, Advertising ,Seed/Startup,DZA,http://www.benchbanking.com,|Advertising|,
32424,Priztag, Social Media ,Seed/Startup,USA,,|Social Media|Curated Web|,Newark
33490,Radar Mobile Studios,,Seed/Startup,,,,
20228,InsureWorx, Software ,Seed/Startup,,,|Software|,
36503,Seventh Continent, Stock Exchanges ,Seed/Startup,,http://www.gameontheseventhcontinent.com,|Stock Exchanges|Business Services|Virtual Worlds|Virtual Currency|E-Commerce|Games|,
570,Absynth Biologics, Biotechnology ,Seed/Startup,GBR,http://absynthbiologics.co.uk,|Biotechnology|,Sheffield
21131,Jaman, Games ,Seed/Startup,USA,http://jaman.com,|Film|Music|Entertainment|Games|,San Mateo
38932,Sprio, Sports ,Seed/Startup,USA,http://sprio.net,|Sports|Social Media|,Seattle
37576,Slip Stoppers, E-Commerce ,Seed/Startup,USA,http://www.silentpartners.info,|E-Commerce|,Louisville
22305,KOEZY,,Seed/Startup,USA,http://www.koezy.com/,,Mundelein
13338,eOn Communications, Mobile ,Seed/Startup,USA,http://eoncc.com,|Mobile|,Corinth
25091,Medigus, Health Care ,Seed/Startup,ISR,http://www.medigus.com,|Health Care|,Omez
15437,FounderFuel, Finance ,Seed/Startup,CAN,http://founderfuel.com,|Internet|Startups|Finance|,Montréal
47542,ZipRecruiter, Social Recruiting ,Seed/Startup,USA,http://www.ziprecruiter.com,|Social Recruiting|Recruiting|Human Resources|Employment|,Santa Monica
35980,SeatMe, Software ,Seed/Startup,USA,http://www.seatme.com,|Software|,San Francisco
