urn,ts,company,numLikes,numComments,text
6989253218673311744,2022-10-21 15:57:01,walmart,99,1,"#ICYMI: a new kind of Fulfillment Center is changing the game in Joliet, Illinois. Using a unique combination of people, robotics and machine learning, ORD1 is making the associate experience faster and easier. Check it out! 

#machinelearning #robotics #supplychain "
6988946964394520576,2022-10-20 19:40:04,walmart,66,3,"Hellen's passion for patients and pharmacy began as a little girl in Kenya. Now, she cares for her community in Sacramento, California—and that outstanding care recently earned her a Moment of Care pin. Read more about Hellen's passion and what she loves most about being a pharmacist: https://bit.ly/3MPTPvj

#PharmacyWeek "
6988865637318098944,2022-10-20 14:16:54,walmart,143,7,"We believe that transparency and measurement are critical to growth, which is why we're sharing our mid-year Culture, Diversity, Equity & Inclusion Report. As we see momentum in key areas, we know there's more work to be done. Read more from Chief People Officer, Donna Morris: https://lnkd.in/gjC2vj3x"
6988537514160517120,2022-10-19 16:33:04,walmart,141,5,"We've teamed up with Ørsted and Schneider Electric to convene the first cohort for Gigaton PPA, our renewable energy accelerator. With this agreement, these five suppliers will be able to source the equivalent of 62MW of new wind power capacity toward their zero emissions efforts. Read more: https://bit.ly/GigatonPPA  

#supplychain #climateaction "
6988484975855620096,2022-10-19 13:04:18,walmart,497,5,"Back by customer demand: Black Friday Deals for Days. Every Monday in November, Walmart has new and exciting deals—and Walmart+ members get exclusive early access. https://bit.ly/3yS4YpK"
6988236525381595136,2022-10-18 20:37:02,walmart,153,2,"Pharmacy Tech Jamee Coffey believes that making hard work fun is the best medicine. 💊 She shares her career highlights as she celebrates 35 years at Walmart: https://bit.ly/3TnBjNi

#RXTechDay #PharmacyTechnician #PharmacyWeek "
6988129194807369729,2022-10-18 13:30:33,walmart,475,13,"We’re launching a new platform, Walmart Creator, which will give creators a one-stop shop to share their favorite products with their followers, shortening the distance between inspiration and purchase. Learn more: https://bit.ly/3CJUMAM"
6987839413460369409,2022-10-17 18:19:03,walmart,245,10,"The couple that cares together, stays together. ❤️ As married Walmart Pharmacy Managers in North Carolina, Lori and Forrest are quite a team—personally and professionally. 

Read more about how they lean on each other to care for their communities: https://bit.ly/3g3jep4 

#PharmacyWeek "
6987775928907022337,2022-10-17 14:06:48,walmart,582,20,"Starting today, Walmart will offer over-the-counter hearing aids to help customers live healthier lives at the affordable prices customers count on. It’s all part of our plan to help customers take control of their health and live better, every day. Read more: https://bit.ly/3D5sKRU"
6986756278601596928,2022-10-14 18:35:04,walmart,233,12,"We're encouraged by the way associates, nonprofit organizations and communities have come together to care for each other as Hurricane Ian relief efforts continue. 

As part of our initial $6 million commitment, Walmart, Sam's Club, and the Walmart Foundation are supporting nonprofits leading efforts to feed and shelter people, clean up debris and provide relief to underserved communities. Read more on these efforts: https://bit.ly/3y8ROVg"
