urn,ts,company,numLikes,numComments,text,Environment,Positive,Waste and Emissions Management ,Social,Diversity and Inclusion,Climate Impact,Biodiversity and Environmental Footprint,Negative,Waste and Emission Management,Environmental Opportunities ,Human Capital ,Governance,Legal Compliance,Workplace and Product Safety,Business Ethics and Transparency,Product Stewardship,Environmental Crime
6857308332219252738,2021-10-22 13:35:09,antheminc,250,0,"Health OS is the future of healthcare, today. This revolutionary operating system for health will interact seamlessly with Sydney Health, meaning follow-up prescriptions and referrals will happen faster and repeating the same information to different providers will happen less often. Learn more.

http://ow.ly/LAeq50Gw73u",,,,,,,,,,,,,,,,,
6859209515330523136,2021-10-27 19:29:46,antheminc,167,1,"With over 700 pregnancy-related deaths every year, improving maternal health is critical mission for us. Last month, The Children's Museum of Indianapolis, in partnership with the Minority Health Coalition of Marion County (MHCMC) and the Indiana Minority Health Coalition (IMHC) hosted the Community Baby Shower, an Anthem Indiana Medicaid signature event with a life-saving mission to drive health equity for expectant mothers. Expectant mothers received resources to help them stay healthy during and after pregnancy. Learn about our commitment to supporting maternal health. https://lnkd.in/euM8sQhQ",,,,,,,,,,,,,,,,,
6859535623557058560,2021-10-28 17:05:36,antheminc,280,0,"By leveraging a digital platform, we can connect siloed data and disparate technologies to drive deeper insights, reduce costs and complexity, and improve health outcomes. Hear more from our President of Digital Platforms, Rajeev Ronanki, our Staff Vice President of AI Technology, Bobby Samuel, and our partner and Executive Director of the Independent Physician Association of Nassau/Suffolk Counties, Mike Guarino, in our upcoming webinar with Modern Healthcare Wednesday, Nov. 17. https://lnkd.in/eb-7MCnV",,,,,,,,,,,,,,,,,
6859848618359238657,2021-10-29 13:49:20,antheminc,108,0,"Healthcare professionals — did you know that only about half of HCPs would rate their knowledge and education about the needs of LGBTQIA+ patients as good or very good? To better serve the needs of the LGBTQIA+ community and connect all consumers with high quality, culturally competent care, we’re hosting an upcoming CME webinar, presented by the National LGBTQIA+ Health Education Center at The Fenway Institute on Wednesday, November 3. 
https://lnkd.in/eVPrWCTq",,,,,,,,,,,,,,,,,
6860251458462371840,2021-10-30 16:30:05,antheminc,178,2,"Parents, do you have questions about vaccinating your children? A special Facebook Live event, hosted by the Black Coalition Against COVID and the We Can Do This campaign is scheduled for this Thursday, November 4, 2021, at 7 p.m. (ET). 

Join the virtual town hall about kids and COVID-19, as our experts answer the important questions to help you make decisions for your family on issues concerning COVID-19, including vaccinating children and other ways to keep kids safe. 

Join at https://lnkd.in/dUg7zTq",,,,,,,,,,,,,,,,,
6861331347613597697,2021-11-02 16:01:10,antheminc,338,6,"Everyone should have the opportunity to be and stay healthy. Today, we are proud to launch the What’s Driving Our Health campaign in conjunction with the findings of our #DrivingOurHealth study to help make that a reality. By deepening our understanding of whole health and all the factors that drive it, we aim to pave the way to make meaningful, sustainable change. Explore more about the campaign and our study findings here: https://lnkd.in/gPV37-yq",,,,,,,,,,,,,,,,,
6862053092372951040,2021-11-04 15:49:08,autonation,59,2,"Why join our Sales team? Between your drive and our training, you will have the opportunity to advance your career- and your earnings- in a relatively short period of time.

Sales careers are for those willing to put in the long hours to close a sale, but the financial earnings make it well worth it for many of our team members. #drivepink #DRVPNK #AutoNation

Learn more: https://lnkd.in/eaxjwCk",,,,,,,,,,,,,,,,,
6863871084396208128,2021-11-09 16:13:11,autonation,233,9,"This is what opening day is all about, coming together and learning from each other. We’d like to welcome our new Associates joining the AutoNation team from Priority 1. Here’s to the future! We can’t wait to keep growing with you and driving pink from coast to coast. #DRVPNK #NewNortheastStores",,,,,,,,,,,,,,,,,
6863940796698247168,2021-11-09 20:50:11,antheminc,269,6,"Most of us know how important health is, but not necessarily all the factors that shape it. Your health is determined more by the zip code you live in than the doctor you see. Explore our #DrivingOurHealth infographic to learn how social drivers of health like economic stability, education, and access to resources can shape our health: https://lnkd.in/g3VU9HGY",,,,,,,,,,,,,,,,,
6864211823810408448,2021-11-10 14:47:09,antheminc,245,1,The quality of your healthcare improves when you receive care on your terms. Focusing on equity is just one way we can reinvent health insurance now. Here are some others: https://lnkd.in/ebYNnWX2,,,,,,,,,,,,,,,,,
6864258193783160832,2021-11-10 17:51:25,antheminc,189,2,"With the flu vaccination reducing the risk of illness by more than 50%, it’s important that everyone has the resources they need to take action to protect themselves, their families, and their communities from influenza. That’s why the Anthem Foundation and the American Lung Association have launched a new campaign called Fend Off Flu, providing targeted toolkits and tips to prevent the flu—to everyone from doctors and patients to seniors and their caregivers, with a focus on disparately affected communities. Learn more about how we’re removing barriers and creating connections to ensure consumers get their flu shots and stay healthy. https://lnkd.in/guV7z8ac",,,,,,,,,,,,,,,,,
6864292591454814208,2021-11-10 20:08:06,autonation,137,4,"This International Accounting Day, we’re taking a minute to recognize our A-M-A-Z-I-N-G Corporate Accounting team! These are the professionals quietly working behind the scenes to keep our company running (and our lights on!) every day.

Do you have an interest in applying for an accounting position?
 
Visit: https://lnkd.in/eAneR7J
#drivepink #DRVPNK #AutoNation",,,,,,,,,,,,,,,,,
6864589041904553984,2021-11-11 15:46:05,autonation,107,2,"We pride ourselves in celebrating our Veterans’ service every day at AutoNation. This Veterans Day in particular, we would like to recognize the strong individuals who have served our country and fought for our freedom. We’re grateful to include so many of you as part of our AutoNation team.

#drivepink #DRVPNK #AutoNation",,,,,,,,,,,,,,,,,
6864984027095474176,2021-11-12 17:55:37,antheminc,341,3,"We are building a healthcare system that works better for everyone – simpler, more affordable, and more accessible. As part of our commitment, we’re introducing #HealthOS, a digital platform that connects data across the healthcare ecosystem to create a “lifetime” patient record, meaning less time spent filling out paperwork, more meaningful interactions, and more personalized care for our consumers. Learn more. https://lnkd.in/e6rYEHQw",,,,,,,,,,,,,,,,,
6866402507099394048,2021-11-16 15:52:09,autonation,19,0,"Why join our Collision team? We promote from within. 

Our stand-alone centers are run by seasoned technicians who have been promoted to management positions. Need to gain experience first? For those just getting started, our Apprentice Technician Development Program means you can receive paid I-CAR and on-the-job training.

Learn more about a career in Collision: https://lnkd.in/eYzWT9k",,,,,,,,,,,,,,,,,
6866461670672363520,2021-11-16 19:47:14,antheminc,206,0,"While many Americans are aware that drivers like financial stability, mental health, and access to healthy food can significantly impact our health, we can all work to deepen our understanding of whole health and the factors that shape it. Data from our new #DrivingOurHealth study found that nearly half (46%) of Americans are unaware the concept of social drivers of health. By gauging what people believe about their health at this moment in time, we’re laying the groundwork to make meaningful, sustainable change across all areas that make up our health. Learn more: https://lnkd.in/g3VU9HGY",,,,,,,,,,,,,,,,,
6866463689948622849,2021-11-16 19:55:16,antheminc,107,5,"When we minimize pollution, protect human rights and cultivate a diverse and inclusive workplace, this impacts overall health, and that's why being included among the #sustainability top-performing companies in the S&P Global #DJSI for the fourth year in a row means so much to us. http://ow.ly/O91R50GPbMN/",10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
6866741686261878786,2021-11-17 14:19:55,antheminc,189,2,"There is still time to register for our webinar with Modern Healthcare this afternoon! Join our President of Digital Platforms, Rajeev Ronanki, our Staff Vice President of AI Technology, Bobby Samuel, and our partners Mike Guarino, Executive Director of the Independent Physician Association of Nassau/Suffolk Counties, and Jonas Goldstein, Vim Head of Product Marketing, to hear how we’re enhancing the healthcare experience with a digital platform approach. https://lnkd.in/eb-7MCnV",,,,,,,,,,,,,,,,,
6866847568719077376,2021-11-17 21:20:40,antheminc,91,1,"DYK $300 billion can be attributed to healthcare fraud in the U.S. each year? Learn how we are working to fight against fraud, waste and abuse and how you can protect yourself and loved ones.  https://lnkd.in/ezSNZvY",,,,,,,,,,,,,,,,,
6867126269675483136,2021-11-18 15:48:07,autonation,75,8,"We’re hiring in Las Vegas. Whether you work in sales, service or management, we have an open position that will help you drive your career forward. 

Take a look at all of our open positions in Las Vegas and apply today!
https://lnkd.in/eAneR7J",,,,,,,,,,,,,,,,,
6867204759686803456,2021-11-18 21:00:01,thrivent,34,0,"Your dollars will make a difference when you shop from the 2021 Holiday Gift Guide. Each purchase gives back to a worthy cause. Download the Gift Guide today, and when you do, you’ll be entered for a chance to win our Holiday Gift Giveaway. Take a look: https://bit.ly/30H7UHZ",,,,,,,,,,,,,,,,,
6867503748638486529,2021-11-19 16:48:05,autonation,177,6,"Don't you want to ride to the west and check our new AutoNation USA Phoenix Avondale store? Check out open positions in Avondale on https://lnkd.in/eAneR7J now! 
#DRVPNK #ANUSA #1Price",,,,,,,,,,,,,,,,,
6867521582252789760,2021-11-19 17:58:57,aflac,82,1,"Smart guy, Coach Saban. Take control of your hours, earnings, and future. Explore what it’s like to be an insurance agent with Aflac. https://lnkd.in/dAQBBYKZ",,,,,,,,,,,,,,,,,
6868588115511062528,2021-11-22 16:36:58,aflac,80,2,"Holiday disasters are an unfortunate reality, but that doesn’t mean they have to dampen the holiday spirit. Find out how supplemental coverage can be the best gift to offer employees. https://lnkd.in/e_KdNRBQ #AflacforBrokers",,,,,,,,,,,,,,,,,
6868599145230336000,2021-11-22 17:20:48,petsmart,171,3,"Customer experience is key in the world of retail—which is why PetSmart strives to find the right role and department for applicants interested in doing Anything for Pets. Check out the article below to hear from Mike Schultheis, SVP of Retail Ops - West, on how PetSmart puts the customer front and center of its hiring process.

https://lnkd.in/eKPrQR_H",,,,,,,,,,,,,,,,,
6868618638044340224,2021-11-22 18:38:16,antheminc,151,0,"Since the COVID-19 pandemic, many food banks across the country have seen a surge in new families in need. It’s estimated that 2 out of 5 food bank visitors in the last year are people experiencing food insecurity for the first time. At Anthem, we know our health requires a broader, more holistic view, which includes addressing factors like food insecurity and the impact it can have on whole health. This Thanksgiving, and any day of the year, no one should have to struggle with food insecurity and the impacts it can have on whole health. That is why we support food initiatives and collaborations at the community level to address these needs – like Dare to Care and the Dollars for Doers Challenge in Kentuckiana. Learn more about our commitment to improving access to healthy food in the communities we serve. https://lnkd.in/gDJsAsHa",,,,,,,,,,,,,,,,,
6868629065818013696,2021-11-22 19:19:42,antheminc,113,0,"The National Institutes of Health's (NIH) All of Us Research Program is inviting one million people across the U.S. to help build one of the most diverse health databases in history. By joining the All of Us Research Program as a research partner, you will contribute to life-saving knowledge and help future generations live healthier lives.

Learn more about how you can participate here: http://ow.ly/uqG850GTKxI",,,,,,,,,,,,,,,,,
6868672954461515776,2021-11-22 22:14:06,antheminc,173,0,"Our lived experiences shape both our perceptions of whole health and our ability to meet basic needs and access services. For example, 1 in 5 Americans say lack of transportation has kept them from medical appointments, work, or getting the things they need, and 50% say it is hard to find affordable healthy food in their local community. Find these insights and more in our #DrivingOurHealth study: https://lnkd.in/g3VU9HGY",,,,,,,,,,,,,,,,,
6868938496007118848,2021-11-23 15:49:16,autonation,112,1,"We’ve heard Audis make great co-workers… here’s a sneak peek at our beautiful Audi Westmont store!

Does this look like your kind of office? Check out https://lnkd.in/eAneR7J to see which of our stores are hiring near you! #drivepink #DRVPNK #AutoNation",,,,,,,,,,,,,,,,,
6868954747588644864,2021-11-23 16:53:50,aflac,48,1,"Increased use of digital technology is here to stay—for businesses and consumers alike. It’s important for insurance agents to keep up, too: https://lnkd.in/dMdjgjNs",,,,,,,,,,,,,,,,,
6869009202229125120,2021-11-23 20:30:13,antheminc,328,1,"We're thankful that so many talented female leaders choose to wake up every day and build a better world with us: http://ow.ly/mVfl50GULss 
#SeramountTopCompaniesforExecutiveWomen ",,,,,,,,,,,,,,,,,
6869393967528648704,2021-11-24 21:59:09,petsmart,142,2,"From our stores and salons to our PetsHotels and distribution centers—we're feeling thankful for ALL of our associates, pet parents, and pets that come to shop with us. Here's hoping you have a wonderful day tomorrow, happy Thanksgiving! 🧡


#LifeAtPetSmart #Thanksgiving #petsmart #AnythingforPets",,,,,,,,,,,,,,,,,
6869662483699892224,2021-11-25 15:46:08,autonation,101,6,"Grateful for all who continue to help us #DRVPNK from coast to coast. Thank you to our Customers, Associates, friends, and family. #HappyThanksgiving from your friends at AutoNation!  🦃",,,,,,,,,,,,,,,,,
6871120303154573312,2021-11-29 16:18:59,gap,13,0,"For a guaranteed pre-Christmas delivery on Rockdoors, make sure to place your order by 5pm on Wednesday! Talk to your local depot for more information 🎄",,,,,,,,,,,,,,,,,
6871127332724248576,2021-11-29 16:46:55,petsmart,134,3,"Hear about Beth McCormick's #LifeAtPetSmart in the IT space! As one of our fearless leaders, Beth is passionate about growing her team with innovative tech professionals. 

If you're interested in helping millions of pet parents with the technology we're building, PetSmart is the place for you. Learn more and explore our open IT roles at careers.petsmart.com.",,,,,,,,,,,,,,,,,
6871160828863762432,2021-11-29 19:00:01,thrivent,60,0,"The Thrivent Mobile App makes it easy to monitor your accounts, investments and financial goals from anywhere. Learn more at thrivent.com/mobile.",,,,,,,,,,,,,,,,,
6871210910518710276,2021-11-29 22:19:01,aflac,56,2,"It’s hard to navigate insurance benefits if you aren’t familiar with the terminology, so we created a guide that breaks it down. Share it with your team and empower them to take control of their health. https://lnkd.in/egb8RSSB #AflacforBusiness",,,,,,,,,,,,,,,,,
