,urn,ts,company,numLikes,numComments,text,Environment,Positive,Climate Impact,Biodiversity and Environmental Footprint,Negative,Waste and Emissions Management ,Social,Human Capital ,Environmental Opportunities ,Waste and Emission Management,Diversity and Inclusion,Workplace and Product Safety,Environmental Crime,Governance,Legal Compliance,Business Ethics and Transparency,Product Stewardship
16,6.98444e+18,08/10/2022 09:01,boeing,280,6,"Global cooperation is a beautiful thing 🌎.

Governments at The International Civil Aviation Organization's 41st Assembly have officially adopted a net-zero carbon emissions goal for international flights by 2050. This goal backs up the aviation industry's ambition to #FlyNetZero and is an important milestone along the path to a sustainable aerospace future.

#TeamBoeing congratulates the Assembly and looks forward to collaborating with our partners at Air Transport Action Group (ATAG)  and ICAO as we continue to build a sustainable future of flight.

Learn more about the pledge: https://bit.ly/3Cil8tA",120.0,120.0,120.0,,,,,,,,,,,,,,
30,6.98213e+18,02/10/2022 00:00,boeing,498,5,"October marks #EnergyAwarenessMonth across the U.S. 🍃

This is the Wild Horse facility in Washington that powers facilities in the state, and is one of many of our efforts to maintain net-zero emissions in our operations. In the last year, #TeamBoeing has reduced energy use by 12.2%, working toward our 2025 goal. It’s not just what we do — it’s also how we do it.

Discover more in our Sustainability Report: https://lnkd.in/geEdz-X",10.0,10.0,,10.0,,,,,,,,,,,,,
51,6.97802e+18,20/09/2022 16:04,boeing,4938,77,"We predict a windy forecast at #ASC22. 💨

The #B52 Commercial Engine Replacement Program completed wind tunnel testing — using similar models used by #TeamBoeing engineers in the 1950s — to collect data for future flight tests. This ensures the new engines on the B-52 legacy aircraft will work as expected.",30.0,,,30.0,30.0,,,,,,,,,,,,
61,6.97326e+18,07/09/2022 12:59,boeing,5121,61,"Today marks the 25th anniversary of the F-22 Raptor's first flight.

The F-22 is pictured in this Innovation Quarterly Magazine photo spread with the first 757 ever built, modified to serve as a flying test bed. The 757 still routinely tests alongside Raptors to help development and fielding of new capabilities to the warfighter.

More here: https://lnkd.in/gQ_FG85n",15.0,,,15.0,15.0,,,,,,,,,,,,
73,6.96944e+18,27/08/2022 23:49,boeing,346,5,"#TeamBoeing engineer Kristine Ramos spoke to the Artemis I #NASASocial group today at NASA - National Aeronautics and Space Administration's Kennedy Space Center. She was joined by our industry partners, along with some out-of-this-world guests, including former astronaut and current NASA Associate Administrator Bob Cabana, Associate Administrator- NASA Science Mission Directorate Dr. Thomas H. Zurbuchen and the Harlem Globetrotters. Kristine spoke to the lively crowd of 100 hand-selected guests who are eagerly awaiting the #Artemis I mission launch on Aug. 29.",5.0,5.0,,,,,,,,,,,,,,,
168,6.93564e+18,26/05/2022 16:59,jpmorgan,312,54,"Reducing energy consumption is better for the planet and your bills. Hear from Enervee CEO, Matthias Kurwig, on the impact of being more energy efficient. ",10.0,10.0,,10.0,,,,,,,,,,,,,
189,6.92217e+18,19/04/2022 13:30,jpmorgan,548,2,Learn how we are leveraging our capital and expertise to help advance a more sustainable and inclusive economy.,5.0,5.0,,,,5.0,,,,,,,,,,,
198,6.98887e+18,20/10/2022 14:51,merck,102,0,"Our latest #TealTalks 💬 episode is here. Our general counsel, @JenniferZachary, dives into how #climatechange is affecting your health and what businesses can do to help fight this global crisis. Hear more from our expert panel featuring @JoelMakower, @SophiaKianni, and @DrCherylHolder here: http://merck.us/3CSI0jL",50.0,,,,50.0,,,,,,,,,,,,
424,6.96316e+18,10/08/2022 15:33,albertsons,213,15,"We are pleased to welcome Asbah Hadi to the Albertsons Companies team in the role of Food Safety Coordinator for our Jewel-Osco division. 

Asbah previously worked for the Minnesota Department of Health, most recently as a Registered Sanitarian/Environmental Health Specialist. In that position, she worked closely with local, state, regional and national health associations, provided public health and environmental health education, surveillance, and enforcement of public health laws. Prior to that, she worked for various regional counties as an Environmental Health Specialist under their Public Health/Environmental Health Departments. 

Asbah is a licensed Environmental Health Specialist and received her master’s degree from the University of Wisconsin Oshkosh in Microbiology. We're thrilled to welcome Asbah to our team!",5.0,5.0,,,,,,,,,,,,,,,
427,6.96061e+18,03/08/2022 15:07,albertsons,72,1,"Thank you, Nidhi Dubey,M.S.,Pharm. D. and team for leading an impactful COVID testing kit event and distributing more than 6,000 test kits at San Francisco International Airport! We're grateful to have you as part of our team, keeping our community healthy and safe.",30.0,,,30.0,30.0,,,,,,,,,,,,
