,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
25958,Miro, Software ,Seed/Startup,DZA,http://www.miro.io,|Software|,
23248,LigoCyte Pharmaceuticals, Biotechnology ,Seed/Startup,USA,http://www.ligocyte.com,|Biotechnology|,Bozeman
34671,Rhetorical Group plc,,Seed/Startup,,,,
36876,ShoutWire, News ,Seed/Startup,USA,http://www.shoutwire.com,|News|,Sandston
41328,The Loose Leaf Tea, Hospitality ,Seed/Startup,USA,,|Food Processing|Hospitality|,Keene
28026,Newman Infinite, Web Design ,Seed/Startup,USA,http://www.newmaninfinite.com,|Internet|Web Design|Artificial Intelligence|Mobile|Enterprises|Security|Software|,Los Angeles
21992,Kids Write Network, Education ,Seed/Startup,CAN,http://www.kidswritenetwork.com/,|Education|,Montréal
32,10Six,,Seed/Startup,USA,http://10sixenergy.com,,New York
10758,daysoft,,Seed/Startup,,http://www.daysoftcontactlenses.com,,
6838,Cantab Biopharmaceuticals, Biotechnology ,Seed/Startup,GBR,http://www.cantabbio.com,|Biotechnology|,Cambridge
5055,BioMCN, Biotechnology ,Seed/Startup,,http://www.biomcn.eu,|Biotechnology|,
2719,AppLabs, Software ,Seed/Startup,IND,http://www.applabs.com,|Software|,Hyderabad
46500,XAware, Search ,Seed/Startup,USA,http://www.xaware.com,|Search|,Colorado Springs
23506,Live Shuttle, Mobile ,Seed/Startup,ISL,http://www.liveshuttle.com,|Startups|Mobile|,Reykjavík
8760,COCC, Finance ,Seed/Startup,USA,http://www.cocc.com,|Finance|,Avon
27179,MyScienceWork, Social Media ,Seed/Startup,LUX,http://www.mysciencework.com,|Social Media|,Luxemburg
7676,Character Booster,,Seed/Startup,,http://www.characterbooster.com/,,
34773,Ripple Networks, Photography ,Seed/Startup,USA,,|Photography|,El Segundo
4178,BakedCode, Software ,Seed/Startup,USA,http://bakedcode.com,|Apps|Internet|Project Management|Software|,San Francisco
22275,knowNormal, Analytics ,Seed/Startup,USA,http://www.knownormal.com,|Analytics|,Raleigh
41454,The University of North Carolina at Chapel Hill, Education ,Seed/Startup,USA,http://unc.edu/about/,|Education|,Chapel Hill
32944,Purewine,,Seed/Startup,,http://www.puravino.com/,,
11391,Dindong, Event Management ,Seed/Startup,BRA,http://www.dindong.com,|Event Management|Events|Curated Web|,São Paulo
830,HOTL.IMMOB.NICE,,ScaleUp/Mature,EU,,,
30572,Paypersocial Ltd, Social Media Advertising ,Seed/Startup,GBR,http://www.paypersocial.com,|Social Media Advertising|Advertising|,London
44257,Verisim, Software ,Seed/Startup,GBR,http://www.verisim.com,|Software|,Edinburgh
35876,ScreenTag, Mobile ,Seed/Startup,GBR,http://www.screentag.mobi,|Mobile|,London
28851,Nyxoah, Medical Devices ,Seed/Startup,BEL,http://nyxoah.com,|Medical Devices|,
43763,USDS, Biotechnology ,Seed/Startup,USA,http://dxstandards.com,|Biotechnology|,Rockville
12120,"Dynova Laboratories,Inc.",,Seed/Startup,USA,http://dynovalabs.com,,Parsippany
34765,RiparAutOnline,,Seed/Startup,,http://www.riparautonline.com/,,
25455,Metabacus,,Seed/Startup,,http://www.metabacus.com,,
16070,Gazoob,,Seed/Startup,GBR,http://www.gazoob.com,,Oxford
26078,Moasis, Hospitality ,Seed/Startup,USA,http://www.moasisgel.com,|Hospitality|,Union City
27356,NanoInk, Biotechnology ,Seed/Startup,USA,http://www.nanoink.net,|Biotechnology|,Skokie
47631,Zoomio Holding, Software ,Seed/Startup,DNK,http://www.zoomio.com,|Software|,Copenhagen
38279,Songdrop, Music ,Seed/Startup,,http://songdrop.com,|Music|,
12893,Emergent Game Technologies, Games ,Seed/Startup,USA,http://www.emergent.net,|Games|,Calabasas
12075,dxcare.com, Health Care ,Seed/Startup,USA,http://www.dxcare.com,|Health Care|Health and Wellness|,Chicago
47338,Zenoss, Enterprise Software ,Seed/Startup,USA,http://www.zenoss.com,|Information Technology|Enterprise Software|,Austin
33512,Radient Technologies, Biotechnology ,Seed/Startup,CAN,http://radientinc.com,|Biotechnology|,Edmonton
15025,Flickme, Games ,Seed/Startup,USA,http://flickme.com,|Games|,San Mateo
7566,Cerona Networks, Public Relations ,Seed/Startup,USA,http://www.cerona.com,|Public Relations|,Frederick
37912,Social Collective, Contests ,Seed/Startup,USA,http://thesocialcollective.com,|Contests|Events|Networking|SaaS|Loyalty Programs|Fashion|Advertising|Social Media|,Arlington
10237,Culpepper’s Bar & Grill, Hospitality ,Seed/Startup,USA,,|Hospitality|,Graham
11746,DosYogures, Internet ,Seed/Startup,ESP,http://www.dosyogures.es,|Internet|Mobile|E-Commerce|,Madrid
31510,Plasco Energy Group, Clean Technology ,Seed/Startup,CAN,http://www.plascoenergygroup.com,|Clean Technology|,Ottawa
30817,Perfect Earth, Mobile ,Seed/Startup,NLD,http://www.perfectearthinternational.com,|Mobile|Green|Sustainability|MMO Games|Social Games|Environmental Innovation|Online Gaming|Games|,Haarlem
14884,FitOrbit, Health and Wellness ,Seed/Startup,USA,http://fitorbit.com,|Health and Wellness|,Los Angeles
9192,Comprehend Systems, Enterprise Software ,Seed/Startup,USA,http://www.comprehend.com,|Big Data Analytics|Big Data|SaaS|Enterprise Software|,Redwood City
8576,CloudByte, Storage ,Seed/Startup,USA,http://www.cloudbyte.com,|Storage|Enterprise Software|,Cupertino
1943,AllyAlign Health, Health and Wellness ,Seed/Startup,USA,http://www.allyalign.com,|Health and Wellness|,Glen Allen
16590,GiveMeSport, Sports ,Seed/Startup,GBR,http://givemesport.com,|Publishing|Digital Media|Sports|,
28152,NextDigest, Advertising ,Seed/Startup,,http://nextdigest.com,|Advertising|,
19815,Infoblox, Technology ,Seed/Startup,USA,http://www.infoblox.com,|Technology|Security|,Santa Clara
28695,Nuday Games, Games ,Seed/Startup,SWE,http://www.nudaygames.com,|Social Media|Music|Entertainment|Games|,Stockholm
40342,TagSeats, Concerts ,Seed/Startup,,http://www.tagseats.com,|Social Media|Music|Events|Sports|Concerts|Curated Web|,
37172,Simplesurance,,Seed/Startup,DEU,http://www.schutzklick.de,,Berlin
3131,Arkimedia, Games ,Seed/Startup,ITA,http://www.arkimedia.com,|Games|,Roma
33844,Realvu Inc, Curated Web ,Seed/Startup,USA,http://www.realvu.com,|Curated Web|,Miami Beach
43725,Uro Jock,,Seed/Startup,USA,,,Reading
22041,Kindling, Publishing ,Seed/Startup,USA,http://www.kindlingapp.com,|Manufacturing|Publishing|Software|,New York
1322,AERON Lifestyle Technology,,Seed/Startup,USA,http://www.aeronlifetech.com,,Fairfield
25864,mInfo, Manufacturing ,Seed/Startup,CHN,http://minfo.com,|Manufacturing|,Shanghai
15485,Franchisee Gladiator, Hospitality ,Seed/Startup,USA,,|Hospitality|,White Plains
9024,Colubris Networks, Web Hosting ,Seed/Startup,USA,http://www.colubris.com,|Web Hosting|,Waltham
38903,Sprig, Hospitality ,Seed/Startup,USA,http://www.sprig.com/,|Hospitality|,San Francisco
9604,Corcept Therapeutics, Pharmaceuticals ,Seed/Startup,,http://www.corcept.com,|Pharmaceuticals|Biotechnology|,
3886,AVM Biotechnology, Biotechnology ,Seed/Startup,USA,http://avmbiotech.com,|Biotechnology|,Seattle
11972,Drugstore.com, E-Commerce ,Seed/Startup,USA,http://drugstore.com,|E-Commerce|,Bellevue
31267,Pin or Peg, Reviews and Recommendations ,Seed/Startup,GBR,http://pinorpeg.com,|Reviews and Recommendations|Social Buying|Fashion|Social Commerce|E-Commerce|,Newcastle Upon Tyne
36677,Shenzhouying Software Technology, Software ,Seed/Startup,CHN,http://www.szy.cn,|Software|,Xiamen
40907,Tellwiki, Curated Web ,Seed/Startup,USA,http://www.tellwiki.com,|Curated Web|,Omaha
1548,Ailola, Education ,Seed/Startup,CHL,http://www.ailolalatino.com,|Education|,Santiago
19202,Identiv, Information Security ,Seed/Startup,USA,http://www.identiv.com,|Data Security|Network Security|Information Security|Security|SaaS|Identity Management|NFC|RFID|Internet of Things|,Fremont
24417,makerSQR, Curated Web ,Seed/Startup,USA,http://makersqr.com,|Collaboration|Curated Web|,Palo Alto
422,99times.cn, E-Commerce ,Seed/Startup,CHN,http://www.99times.cn,|E-Commerce|,Shanghai
26284,Mobspire, Advertising ,Seed/Startup,USA,http://www.mobspire.com,|Publishing|Android|iOS|Web Development|Media|Mobile Advertising|Mobile|Advertising|,Mountain View
2535,Anywhere to Go,,Seed/Startup,THA,http://arunsawad.com,,Bangkok
11439,DirectPointe, Consulting ,Seed/Startup,USA,http://www.directpointe.com,|Consulting|,Lindon
46348,Worldly Developments, Mobile ,Seed/Startup,USA,http://worldlydevelopments.com,|Mobile|Local|Real Time|Social Network Media|Events|Software|,San Francisco
41499,TheFriendMail, Social Media ,Seed/Startup,,http://thefriendmail.com,|Social Media|Email|Facebook Applications|Software|,
29898,OtherInbox, Messaging ,Seed/Startup,USA,http://www.otherinbox.com,|Shopping|Spam Filtering|Email|Messaging|,Austin
14579,FetchBack, Advertising ,Seed/Startup,USA,http://www.FetchBack.com,|Ad Targeting|Sales and Marketing|Advertising|,Tempe
37006,Signal360 (formerly Sonic Notify), SaaS ,Seed/Startup,USA,http://www.sonicnotify.com,|SaaS|Local|Events|Broadcasting|Advertising|Media|Web CMS|Finance|Content|Audio|Software|,New York
17841,Happy Hour Pal,,Seed/Startup,USA,http://www.happyhourpal.com/index.php,,Honolulu
35679,Scali, Software ,Seed/Startup,USA,,|Software|,Marlborough
26790,MRI Interventions, Health Care ,Seed/Startup,USA,http://mriinterventions.com,|Health Care|,Memphis
33968,Red Robot Labs, Mobile ,Seed/Startup,USA,http://redrobotlabs.com,|Location Based Services|Social Media|Mobile|Games|,Palo Alto
1580,Aircraft Logs, Enterprise Software ,Seed/Startup,USA,http://www.aircraftlogs.com,|Enterprise Software|,Columbus
23940,Loyalis, E-Commerce ,Seed/Startup,SRB,http://loyalis.co,|Social Commerce|E-Commerce|Loyalty Programs|Enterprise Software|,Belgrade
34878,Robin Labs, Software ,Seed/Startup,USA,http://robinlabs.com,|Software|,Palo Alto
44219,Veraz Networks, Web Hosting ,Seed/Startup,USA,http://www.veraznetworks.com,|Web Hosting|,Fort Lauderdale
29697,OrangeScape, Cloud Computing ,Seed/Startup,IND,http://www.OrangeScape.com,|PaaS|Cloud Computing|Enterprise Software|,Chennai
44649,Viralheat, Social Media Monitoring ,Seed/Startup,USA,http://www.viralheat.com,|Social Media Monitoring|Predictive Analytics|Publishing|Social Media Management|Enterprise Software|,San Mateo
34414,Resource Data, Software ,Seed/Startup,USA,http://www.resdat.com,|Software|,Anchorage
23499,Live Calendars, Consulting ,Seed/Startup,CAN,,|Consulting|,Laval
11805,Down To Earth Transportation, Transportation ,Seed/Startup,USA,http://www.downtoearthtransportation.com,|Transportation|,Vero Beach
46666,xPeerient, Software ,Seed/Startup,USA,http://www.xpeerient.com,|Software|,Boston
1211,Advanced Photonix, Analytics ,Seed/Startup,USA,http://www.advancedphotonix.com,|Analytics|Hardware + Software|,Ann Arbor
42576,TrendKite, Software ,Seed/Startup,USA,http://trendkite.com,|Software|,Austin
72,AIRBUS,,ScaleUp/Mature,EU,,,
