,domain,name,twitter,linkedin,name,logo
0,walmartstores.com,Wal-Mart Stores,walmart,walmart,Walmart eCommerce,media-exp3.licdn.com/dms/image/C560BAQGLBsBhuYY_mQ/company-logo_200_200/0/1519856522046?e=2159024400&v=beta&t=Es6fSP4-JWw0m-m0lcU5iA9SIvHyqUNJkRFCFlKffHw
3,chevron.com,ChevronTexaco,Chevron,Chevron,Chevron,media-exp1.licdn.com/dms/image/C560BAQFIzPIYfEdWdw/company-logo_200_200/0/1552093005578?e=1668643200&v=beta&t=trDFvJFugck3E2JL087klD7kMSHd13xy61WxYdHs6bk
7,boeing.com,Boeing,Boeing,Boeing,Boeing,media-exp1.licdn.com/dms/image/C4E0BAQHpXZDZYImrdA/company-logo_200_200/0/1542647676208?e=1668038400&v=beta&t=DbqpOF42bn9MA6HyLZC6EAJ9WSxNn1cquTObxk0s3Hs
10,jpmorganchase.com,J.P. Morgan Chase & Co.,jpmorgan,jpmorgan,JPMorgan Chase & Co.,media-exp1.licdn.com/dms/image/C4E0BAQFN7ZGRjNcgeA/company-logo_200_200/0/1656681489088?e=1668038400&v=beta&t=z3VDdHbqyA1NooTQqXTeX9ZxfbBnP2-gSVQxyhx7ANQ
12,merck.com,Merck,merck,merck,Merck AH,media-exp1.licdn.com/dms/image/C4D0BAQFzQHlHLpmXPQ/company-logo_200_200/0/1561575476099?e=2147483647&v=beta&t=TE8Nz4X8NdBGTr25_hoWHGlO5bokopXYtQxasLk8yAs
13,statefarm.com,State Farm Insurance Cos.,StateFarm,StateFarm,State Farm,media-exp1.licdn.com/dms/image/C560BAQFWTQ9vYGYIwg/company-logo_200_200/0/1659044017450?e=1668643200&v=beta&t=sdqZaDGiUfiPEQ17v09HSWtDbGHeL9A1aYizJL3NDEg
15,mckesson.com,McKesson,McKesson,McKesson,McKesson Corporation,static-exp1.licdn.com/sc/h/cs8pjfgyw96g44ln9r7tct85f
16,ml.com,Merrill Lynch,MerrillLynch,MerrillLynch,Merrill Lynch,media-exp1.licdn.com/dms/image/C4E0BAQHuxyyOkAMjzg/company-logo_200_200/0/1625142238096?e=1668038400&v=beta&t=doe3vPwNpt2cKT9FvLVNTutovHOrZRuDA-6n0VywkP8
17,albertsons.com,Albertson's,albertsons,albertsons,Albertsons,media-exp1.licdn.com/dms/image/C4E0BAQFskSiTZW3dwA/company-logo_200_200/0/1519911561859?e=1668038400&v=beta&t=Jof-C3bolmK8A1pfbk1QIQ8l1ZkOUco7T1QJ_xBdFec
22,jcpenney.net,J.C. Penney,jcpenney,jcpenney,J.C Penney,bpando.org/wp-content/uploads/New-JC-Penney-Logo-BPO.jpg
